Longitud,Latitud,2007_011,2007_012,2007_013,2007_010,2007_021,2007_022,2007_023,2007_020,2007_031,2007_032,2007_033,2007_030,2007_041,2007_042,2007_043,2007_040,2007_051,2007_052,2007_053,2007_050,2007_061,2007_062,2007_063,2007_060,2007_071,2007_072,2007_073,2007_070,2007_081,2007_082,2007_083,2007_080,2007_091,2007_092,2007_093,2007_090,2007_101,2007_102,2007_103,2007_100,2007_111,2007_112,2007_113,2007_110,2007_121,2007_122,2007_123,2007_120
-57.3333,-31.6667,54.50662112,63.49706849,56.62653923,58.15899444,47.15533496,43.96914343,83.88934708,57.45685888,98.58087231,91.53509136,92.74255746,94.23637964,96.22725398,91.85943531,92.97790751,93.68819893,96.31859881,86.76336965,77.62658403,86.60361642,69.59503050000001,77.59071984,94.53512211,80.57362415,93.4286059,89.74877371,78.11779749,86.80869576,81.71510155,90.41486292,92.68034153,88.41236779,86.01439516,97.31245377,79.27024908,87.53236600000001,89.62341137,91.22223461,79.60274634,86.58344095,69.8095051,49.48780024,48.69659338,55.99796624,38.52346856,24.73447583,40.89736406,34.91775641
-57.0,-31.6667,42.75300781,64.39172424,61.58680525,56.4161993,49.4988442,40.6256011,81.99919992,56.52542249,97.37550605,86.54834107,90.74951897,91.53171548,95.14924491,91.65846044,91.4066797,92.73812835,95.15210844,82.97495372,71.60127222,82.86724568,61.84532821,76.76743746,94.54441682,77.71906083,92.57788271,91.7800184,75.85904308,86.38801564,80.42803412,90.37437515,94.19682291,88.52223047,80.60667159,96.01868406,73.24153232,83.28896265,81.46184583,88.05360311,73.52209064,80.77088666,61.69433522,38.921679600000004,43.38337664,47.99979716,28.7584775,16.38269738,54.53062558,33.91124614
-56.6667,-31.6667,31.32889328,59.47286099,61.12382052,50.97998608,43.93603812,36.19029597,84.10836958,53.73236783,96.89125441,81.95720398,88.60259996,89.13268334,93.5490291,88.96003917,88.57021321,90.35976049,93.38452365,79.13832822,66.10697477,79.10984649,54.87646585,67.95276667,84.82324487,69.21749247,82.28570518,87.29377959,68.19743034,78.90214779,77.23189989,94.00518572,93.57974566,88.44348575,73.86407371,92.11003971,69.04900724,78.34104022,80.03104569,84.08257827,69.73506132,77.68457788,55.38919837,28.91402059,35.14640752,39.81654216,19.31795817,10.88422445,62.01464505,31.74783618
-56.3333,-31.6667,32.15861307,39.1850501,47.24143660000001,39.777175299999996,33.65755881,32.50530624,86.32271063,49.6045878,97.95743633,84.95618599,89.50794376,90.76527757,95.00973767,91.19163482,88.88916339,91.69684529,95.39244313,82.67514359,72.0696258,83.01425003,61.53645103,75.89448847,97.78037867,78.40377272,92.45751511,93.34239451,75.73471942,86.80906483,86.32452706,95.93707077,94.21998166,92.22696053,75.40190038,78.59173045,75.95271170000001,76.64878084,84.33353596,84.40811044,74.70043499,80.93939512,63.21152467,36.58853033,36.47275618,45.4242704,20.35338781,11.27686642,44.20443257,25.88875163
-56.0,-31.6667,60.22730551,54.19791351,49.01631461,54.3042468,47.58327518,46.5380582,82.78810647,58.14849283,99.37791135,92.7558123,94.6542292,95.56560509,97.77669703,96.20077871,94.69499423,96.22415666,98.51089473,92.86049882,88.29375558,93.0627499,82.84756165,97.16741998,99.41874406,93.14457523,96.71224116,96.18673607,88.15636331,93.50676673,94.95060857,98.31874844,97.56508278,96.96482196,90.24297753,87.78401069,87.58674093,88.53790972,91.99580675,91.73759092,86.30210501,89.89216554,82.52770483,64.92320991,53.33567953,66.92886476,38.07403873,26.00460831,37.08443634,33.82952484
-55.6667,-31.6667,56.15890746,67.78882529,75.91053728,66.91913670000001,82.84459488,77.73263983,92.13858651,83.96619399,99.47576884,95.38451401,93.90994426,96.1810392,97.09119619,94.64244385,96.1524233,95.96202112,98.92915689,93.68709852,90.71831104,94.32464437,85.88723935,99.0040759,99.29200376,94.727773,97.18892685,96.73942548,89.00782559999999,94.140955,97.15736707,98.78771695,97.13527677,97.67544789,94.52449666,85.71163158,81.37922054,87.20511626,87.28710177,91.74628434,78.00641603,85.43240121,75.47467965,57.28244822,50.66311235,61.14008007,36.37703214,24.76023235,28.31752898,29.76985367
-55.3333,-31.6667,64.25200366,65.95420205,77.69964984,69.57284534,73.11471273,65.42370788,89.04444745,75.40635287,98.97312035,93.69093633,90.85857137,94.38983393,93.87354864,85.36437538,89.74075416,89.65955939,98.33356835,90.16240118,89.13819817,92.43483468,81.62524403,98.98004978,98.89044558,93.16524646,96.99987389,95.56285849,84.69958317,92.17170125,95.06953399,98.24835602,94.88823854,96.0306298,84.47284488,80.48088028,90.32924455,85.09432324,84.42732958,88.08388857,66.29110104,79.1714288,61.22576153,40.8121195,30.74530163,44.26106089,18.95504249,10.80478055,17.9631855,15.97397648
-55.0,-31.6667,73.28112116,61.00630003,71.54871750000001,68.70677756,55.71401394,48.51859673,84.87842818,62.283860700000005,98.44545948,88.46183373,89.60581553,92.08828719,84.49292084,80.4277031,84.40763755,83.1094205,97.37479861,88.8408265,94.88992855,93.74017629,85.43835562,98.71852402,98.3967829,94.18455418,96.59326229,95.24198847,83.30113369,91.44080575,90.47861482,98.11436066,93.82863588,94.13047579,81.90060344,78.97092316,89.82523551,83.56558737,75.43095427,83.30880904,63.19158731,73.62919656,60.11437276,41.036145399999995,25.29610246,42.14887354,14.77525811,8.174451414,20.74073209,14.76274672
-54.6667,-31.6667,60.11432872,47.0084722,47.05951569,51.25428006,38.07353317,37.13897334,70.44455699,47.79745097,98.76692643,90.02891875,91.53254658,93.38117626,92.3345685,91.20135346,91.65326346,91.72972847,96.86934802,89.88830574,96.27460529999999,94.40636116,87.52776661,98.84115229999999,98.51527427,94.96139773,96.97370581,96.06063459999999,85.39938635,92.57215013,92.17604755,98.45261259,96.25845015,95.64934042,85.49427704,81.786502,90.72034448,86.00037451,88.29382816,88.08052949,69.50198704,81.55694948,75.88046367,62.75128287,42.42410609,60.35195087,26.38514307,16.11940592,21.93447158,21.49434443
-54.3333,-31.6667,65.21502197,51.22242464,50.1769146,55.36517828,47.51546214,45.88112998,72.00080511,54.55079887,99.08752729999999,92.83807208,94.43546922,95.42084371,97.69712153,93.91216151,94.07804962,95.22911089,96.7955241,91.86413639,95.91512599,94.89235454,89.31930232,99.09801256,98.8179152,95.74507669,97.55244244,96.96194498,88.48623808,94.14491913,97.50182571,98.83809776,97.14579026,97.80654605,87.96371255,84.07318793,90.77215257,87.60301768,91.31469341,90.7872287,76.08374137,85.74001214,83.70810181,76.08153320000001,60.92528431,73.57163977,42.45313883,29.26914731,32.51767552,34.67475136
