Longitud,Latitud,2009_011,2009_012,2009_013,2009_010,2009_021,2009_022,2009_023,2009_020,2009_031,2009_032,2009_033,2009_030,2009_041,2009_042,2009_043,2009_040,2009_051,2009_052,2009_053,2009_050,2009_061,2009_062,2009_063,2009_060,2009_071,2009_072,2009_073,2009_070,2009_081,2009_082,2009_083,2009_080,2009_091,2009_092,2009_093,2009_090,2009_101,2009_102,2009_103,2009_100,2009_111,2009_112,2009_113,2009_110,2009_121,2009_122,2009_123,2009_120
-58.3333,-34.3333,13.28672012,10.46745373,9.907694017999999,11.17827009,21.77702535,37.17648199,66.34521435,40.91868974,85.41153019,89.80590965,71.69340141,81.96134884,71.23824828,61.85394073,55.55135341,62.88118081,48.59117747,56.71646866,56.29152657,53.94462108,61.42018022,59.80941899,68.16505896,63.13155272,83.71248551,95.48451938,97.12991513,92.27093921,90.08964326,86.59846433,82.61353992,86.31064565,81.71883272,85.0810288,85.11915572,83.97300574,90.23795075,87.78375644,74.64312142,83.91262605,89.99340647,88.33861805,98.1336963,92.15524028,85.94237617,66.23366582,91.0196645,81.38634611
-58.0,-34.3333,13.922669400000002,9.333085864,8.150747448999999,10.39405724,22.77290683,40.59811955,71.16936463,43.93912226,89.15164178,89.51094575,69.97388686,82.46253648,68.06226735,58.21232503,52.23629836,59.50363025,45.16266003,55.81336942,54.3036071,51.8419346,57.98053744,55.75369721,59.79553993,57.84325820000001,81.44468978,96.69705948,96.87564437,91.84030905,89.36062152,87.37816154,84.88794766,87.13404048,85.09646337,89.25287537,89.40194713,87.91709529,91.74669512,88.13064492,75.46108302,84.80146173,92.15742668,88.21094061,96.61582247,92.32806325,82.80272641,59.84066077,85.55359057,76.37172155
-57.6667,-34.3333,19.67027523,12.50243838,11.20941229,14.35582811,32.69749164,50.5043485,77.40181244,52.71154184,92.61899273,86.59018112,67.6253316,81.80549633,69.42497287,60.14009259,55.56623479,61.71043342,47.83342826,64.48296594,59.57003127,57.36884794,55.25747135,54.50716793,73.63256535,61.13240155,92.67443119,96.82558511,96.82009215,95.48455408,89.22578827,88.70872165,91.44789149,89.84748082,94.34485500000001,94.33429309,91.76264464,93.48059758,91.66461973,87.60408211,83.20310886,87.35229728,93.32389837,92.21069635,94.32392599,93.28617357,74.82941388,54.90350032,82.31198382,71.05680529
-57.3333,-34.3333,9.581393457,6.042637732999999,7.536550996,7.7142700920000005,29.47600062,43.67304402,69.85880761,46.9041281,91.20589093,87.71307940000001,67.95996632,81.83062364,65.437017,55.08003114,48.33232973,56.28312596,41.69047123,61.82289541,61.00560063,55.03855720000001,66.1958207,66.35175166,94.02283392,75.52346876,98.41702123,96.6363215,97.00351764,97.34103618,89.70247264,90.84463114,91.58489774,90.73886816,97.30683698,94.63193845,90.16347037,94.03408193,91.58150694,89.14592278,79.55073999,86.52685281,95.29305458,89.27134079,97.76299226,94.10912921,83.21840031,60.03849329,86.50996889,76.9089869
-57.0,-34.3333,6.31929961,3.899593145,7.929892767999999,6.110249935,33.91179926,48.18162525,79.11757921,52.86180890000001,93.73012645,89.37386881,68.60077165,83.40801422,64.34880443,53.53861872,46.03032208,54.63924841,39.76325191,66.61778704,69.74058113,59.063122,81.49831427,80.44381209999999,98.94922334,86.96378324,98.54258869,96.97745287,97.20517554,97.56314021,90.32685654,91.36533153,91.07498741,90.92731426,97.09659053,94.56274219,89.04119013,93.56684095,91.61826090000001,89.05553081,76.98282104,85.59835318,95.48863492,87.75967902,97.98021838,93.74284411,84.76503293,61.48263137,87.73543503,78.30859446
-56.6667,-34.3333,9.03203704,5.735705476000001,11.9752694,9.013077049,47.78604688,66.99635684,91.32392769,67.92204781,94.65474646,90.40489465,71.0330975,84.90195108,67.31804759,58.24094929,53.44035705,59.66645131,47.03985481,78.95582669,85.99345939,71.15757640000001,97.03983696,94.50818507,99.37427773,96.97409992,98.83281865,98.03814461,97.7192754,98.18134394,91.9469684,92.62934511,92.10579004,92.22344599,97.25088801,95.13586677,89.85499987,94.08058488,92.68302859,90.75036586,81.18834772,87.98083127,96.09178835,89.49515541,97.99781878,94.52825418,85.17599762,67.04810989999999,90.03870602,81.05376908
-56.3333,-34.3333,7.503375287000001,4.945944736,11.76875827,8.191920685,43.80930066,56.550300199999995,88.36335834,62.02987013,96.81349425,92.35533405,74.93567603,87.61228127,81.04752397,70.13641364,63.13204986,71.43866249,55.51189655,93.37951445,94.20129912,81.45575485,96.79571635,94.44583169,99.42900943,96.89018582,98.91232712,98.63949692,97.82996371,98.44025294,92.59009813,93.25062612,92.13727025,92.64249081,97.83445347,94.99348618,88.93507804,93.9210059,93.20437033,90.54017032,79.27605061,87.40264397,96.69959873,88.31132813,98.0148918,94.34193955,84.95546739,64.44958063,79.80621634,76.51351161
-56.0,-34.3333,6.840208305,6.191143287,15.67574924,9.766024436,46.38141045,54.0174733,82.21477838,60.13523596,96.11477276,94.304419,76.97649237,88.73978496,80.11278382,69.09073819,60.99310363,70.06554188,53.76260781,87.81643875,89.54877409,77.44603163,97.90913031,95.55271404,99.44275025,97.63486487,98.95669282,98.77238335,97.28712998,98.30481263,92.21827754,93.14858025,92.32659790000001,92.55681145,98.55550452,95.07449083,88.96914119,94.19971218,94.32929871,91.42060877,79.18809009,88.01832471,96.99398498,88.18141558,97.54895661,94.24145239,83.39099483,67.17664273,76.38098073,75.67313431
-55.6667,-34.3333,7.099733835,9.532804437000001,23.22799427,13.60752644,53.32352686,58.818993000000006,77.40617966,62.69244192,92.77347334,93.56000448,74.95089194,86.70305127,73.18854814,61.73240429999999,52.95880562,62.62658602,46.08135613,77.10595772,81.15249402,68.53388944,97.91470921,95.34685011,99.38130478,97.54762137,98.89617159999999,98.52248546,96.73535379,98.00888588,90.90841478,91.9946867,91.65457458,91.52359146,98.0016268,94.39361965,88.21545615,93.53690087,95.36806353,91.44584053,77.11184317,87.62481663,96.72268269,87.09418434,96.72702365,93.51463023,80.85854529,69.89090818,78.98393079,76.65541205
-55.3333,-34.3333,9.559549228,17.54673316,42.70875357,23.89868107,80.41199929,71.40173503,72.78948789,74.93940463,90.3509411,91.53456005,68.66703343,83.03846385,69.06276346,54.68124664,43.99709986,55.91370332,36.16707951,82.01761719,85.45326325,68.44622138,97.03218603,93.44937247,99.05298116,96.51151322,98.26414517,97.90345404,95.01074044,96.99335926,87.27994748,88.84624736,88.81859167,88.33117602,93.80859554,92.03135035,82.88301919,89.57432170000001,93.83104107,87.42941205,69.04297104,82.97023266,91.75383674,76.91503286,94.59666555,87.75517838,75.17644051,59.7816356,65.95369005,66.93778554
