id,Longitud,Latitud,2023_011,2023_012,2023_013,2023_010,2023_021,2023_022,2023_023,2023_020,2023_031,2023_032,2023_033,2023_030,2023_041,2023_042,2023_043,2023_040,2023_051,2023_052,2023_053,2023_050
160,-55.33349999785423,-31.33349999785424,25.887535095214844,22.95980834960937,31.601560592651367,26.97066307067871,33.96711730957031,42.50369644165039,55.68670654296875,43.221492767333984,50.83063507080078,50.77866744995117,95.52286529541016,66.67240905761719,88.0052261352539,89.47000885009766,86.88542938232422,88.12022399902344,97.68730926513672,94.0924072265625,95.6686553955078,95.81137084960938
161,-54.99999997019768,-31.33349999785424,15.687007904052734,16.60586929321289,33.869258880615234,22.4351806640625,32.52077865600586,37.8542594909668,43.05651092529297,37.4358024597168,34.36469650268555,38.83186721801758,89.77625274658203,55.4678840637207,81.95426940917969,81.22705841064453,74.63655853271484,79.27262878417969,91.68585968017578,90.94215393066406,93.73876190185548,92.17440032958984
162,-54.666499972343445,-31.666500002145767,11.97751522064209,11.006093978881836,13.655099868774414,12.259425163269045,14.59550666809082,18.47293472290039,30.55069923400879,20.538928985595703,26.30673217773437,34.71885681152344,88.48188781738281,51.08247375488281,85.4202651977539,80.17684936523438,72.9886245727539,79.52857971191406,90.86597442626952,91.64989471435548,94.14509582519533,92.28240966796876
163,-54.666499972343445,-32.0,11.964311599731444,8.729666709899902,6.133979797363281,8.852049827575684,9.194211959838867,14.589543342590332,20.559186935424805,14.36825180053711,17.43857765197754,34.33142852783203,84.68151092529297,46.7482795715332,82.98021697998047,90.05011749267578,83.73351287841797,85.58795166015625,93.4268798828125,93.0774383544922,93.87113189697266,93.47179412841795
164,-54.33350002765656,-31.666500002145767,14.879716873168944,10.500120162963867,7.481752872467041,10.841859817504885,9.055252075195312,10.769323348999023,16.414173126220703,11.76996898651123,16.415435791015625,27.175058364868164,73.59732055664062,40.17662811279297,77.44148254394531,71.09603881835938,66.6951904296875,71.7442398071289,87.24736022949219,93.71321868896484,95.69720458984376,92.33145141601562
165,-55.66650000214577,-30.99999997019768,21.35462951660156,25.55346298217773,26.32344627380371,24.47222137451172,30.91165542602539,29.749799728393555,41.16796875,33.42708206176758,39.68634033203125,45.375118255615234,92.45545959472656,60.24595642089844,92.57008361816406,83.14209747314453,78.36835479736328,84.69351196289062,96.35202026367188,94.12564849853516,95.65132904052734,95.38520050048828
166,-54.0,-32.33349999785423,4.741989612579346,7.279695987701416,11.994580268859863,8.13410472869873,20.431114196777344,29.979949951171875,36.6490364074707,28.47510528564453,32.3890266418457,52.777320861816406,95.8631591796875,61.48897552490234,81.2536392211914,91.00638580322266,82.40895080566406,84.88965606689453,91.80494689941406,91.05487060546876,91.1718978881836,91.3383560180664
167,-53.666499972343445,-32.0,5.984296321868896,5.004509449005127,7.30956506729126,6.138492584228516,13.357422828674316,11.937776565551758,30.56403541564941,17.76658058166504,32.35637283325195,51.98783874511719,96.54117584228516,61.46435546875,82.46778869628906,76.67382049560547,70.22061157226562,76.45407104492188,87.30387115478516,89.68980407714844,92.1940689086914,89.80876159667969
168,-53.666499972343445,-32.33349999785423,6.361643314361572,6.101193428039551,9.655048370361328,7.446254730224609,20.192459106445312,19.511701583862305,33.89505386352539,23.86435890197754,38.1311149597168,52.95501708984375,95.6700439453125,63.33005905151367,80.2484359741211,90.85862731933594,82.88603210449219,84.66436767578125,91.5390625,90.89940643310548,91.49980926513672,91.31879425048828
169,-53.33350002765656,-32.33349999785423,9.26714324951172,7.781848907470703,7.125269889831543,8.027996063232422,15.959904670715332,14.377644538879396,25.69326400756836,18.17577171325684,28.31413459777832,40.96030426025391,91.68035125732422,54.87833023071289,88.66731262207031,92.72373962402344,83.57664489746094,88.32256317138672,91.78702545166016,92.27050018310548,94.11986541748048,92.77076721191406
170,-54.666499972343445,-31.33349999785424,12.55160140991211,10.056730270385742,17.246414184570312,13.412705421447754,18.91546630859375,20.297252655029297,22.948097229003903,20.56114196777344,19.81846237182617,32.48211669921875,87.05992889404297,47.76338577270508,87.75131225585938,82.08686065673828,75.589599609375,81.80925750732422,90.7156982421875,92.08534240722656,95.36129760742188,92.80596160888672
171,-54.33350002765656,-32.66650000214577,9.791528701782228,16.300125122070312,16.01462173461914,14.099270820617676,20.213802337646484,14.8988037109375,35.19819259643555,22.596843719482425,46.77486038208008,70.67973327636719,97.26878356933594,72.40330505371094,83.69257354736328,84.38037109375,73.7973403930664,80.62342834472656,88.65897369384766,89.16220092773438,89.64013671875,89.16946411132812
172,-54.33350002765656,-32.33349999785423,8.833709716796875,7.822179794311523,7.167094707489014,7.916029930114746,8.522133827209473,15.029936790466309,20.03676986694336,14.136244773864746,17.777050018310547,39.065406799316406,90.88955688476562,50.58740997314453,90.11187744140624,93.8529815673828,84.56639099121094,89.51042175292969,92.26602172851562,93.41451263427734,93.39390563964844,93.0367202758789
173,-54.33350002765656,-33.333500027656555,9.460982322692873,6.053972244262695,3.775175094604492,6.344402313232422,9.780592918395996,13.181846618652344,24.92959213256836,15.323612213134766,25.48601722717285,54.53140640258789,98.38519287109376,60.72294616699219,92.26177978515624,79.4013442993164,73.455078125,81.70606994628906,84.64356994628906,86.58465576171875,90.8912582397461,87.48664855957031
174,-54.0,-33.333500027656555,9.404460906982422,11.210058212280272,6.991636753082275,9.130748748779297,8.939321517944336,15.29887866973877,19.75440216064453,14.300615310668944,19.453277587890625,46.279666900634766,97.56175994873048,55.8228645324707,94.6423797607422,82.45659637451172,73.88758850097656,83.66218566894531,81.19715881347656,84.46603393554688,91.97271728515624,86.0752182006836
175,-53.666499972343445,-33.666499972343445,21.98509788513184,35.873512268066406,25.51955795288086,27.71939468383789,35.32950973510742,32.79233169555664,36.8734130859375,34.8644905090332,38.7812385559082,53.41190719604492,93.23165130615234,62.821922302246094,95.11320495605467,86.46941375732422,80.41484069824219,87.33248901367188,81.9426040649414,81.86737823486328,89.42755126953125,84.57428741455078
176,-55.66650000214577,-32.33349999785423,15.18530559539795,10.549696922302246,11.151763916015623,12.25869083404541,19.365896224975582,19.40601348876953,19.787654876708984,19.5007266998291,21.670982360839844,35.93757247924805,78.38375091552734,46.3969955444336,74.01726531982422,69.32084655761719,67.53485870361328,70.2909927368164,77.07421875,78.26824951171875,88.04943084716797,81.35382080078125
